Group,Fork,Richness,EPT,FBI,Filters,Predators,Shannon
1,North,9,25,5.28,43,16,1.83
2,North,8,30,5.06,50,18,1.82
3,North,9,28,5.28,32,15,1.83
4,North,9,18,5.12,36,16,1.96
5,North,8,32,5.4,44,13,2.03
6,North,7,22,5.42,47,12,1.79
7,North,8,24,5.26,49,16,1.91
8,North,9,32,5.04,50,12,2
9,North,8,38,6.13,44,14,1.79
10,North,9,28,5.28,33,15,1.83
11,North,8,30,5.48,35,12,1.5
12,North,9,24,5.44,46,14,2.06
13,North,9,30,5.04,50,12,2
1,South,11,38,4.36,40,18,2.12
2,South,9,32,3.92,42,17,1.8
3,South,11,32,4.34,40,18,2.12
4,South,11,30,4.54,46,15,2
5,South,10,34,4.78,32,20,2.12
6,South,9,26,3.9,36,14,1.97
7,South,10,34,4.24,42,18,2.02
8,South,8,35,4.88,32,18,1.9
9,South,10,40,4.22,48,20,2.2
10,South,11,28,4.32,40,18,2.12
11,South,10,32,4.14,30,17,2.03
12,South,11,34,4.5,48,14,2.02
13,South,8,31,4.88,32,18,1.9
